freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,values
A,0-9,C10-S951_X_K,E_AI_BIAS_ADOWN,PC_ENT_AI_PDI,ES,2024,10.75
A,0-9,C10-S951_X_K,E_AI_BIAS_ADOWN,PC_ENT_AI_PDI,PT,2024,27.81
A,0-9,C10-S951_X_K,E_AI_BIAS_ADOWN,PC_ENT_AI_TANY,ES,2024,0.2
A,0-9,C10-S951_X_K,E_AI_BIAS_ADOWN,PC_ENT_AI_TANY,PT,2024,0.91
A,0-9,C10-S951_X_K,E_AI_BIAS_AEXT,PC_ENT,ES,2024,0.01
A,0-9,C10-S951_X_K,E_AI_BIAS_AEXT,PC_ENT,PT,2024,0
A,0-9,C10-S951_X_K,E_AI_BIAS_AEXT,PC_ENT_AI_PDI,ES,2024,12.53
A,0-9,C10-S951_X_K,E_AI_BIAS_AEXT,PC_ENT_AI_PDI,PT,2024,2.28
A,0-9,C10-S951_X_K,E_AI_BIAS_AEXT,PC_ENT_AI_TANY,ES,2024,0.24
A,0-9,C10-S951_X_K,E_AI_BIAS_AEXT,PC_ENT_AI_TANY,PT,2024,0.07
A,0-9,C10-S951_X_K,E_AI_BIAS_AMOWN,PC_ENT,ES,2024,0.02
A,0-9,C10-S951_X_K,E_AI_BIAS_AMOWN,PC_ENT,PT,2024,0.07
A,0-9,C10-S951_X_K,E_AI_BIAS_AMOWN,PC_ENT_AI_PDI,ES,2024,14.23
A,0-9,C10-S951_X_K,E_AI_BIAS_AMOWN,PC_ENT_AI_PDI,PT,2024,49.51
A,0-9,C10-S951_X_K,E_AI_BIAS_AMOWN,PC_ENT_AI_TANY,ES,2024,0.27
A,0-9,C10-S951_X_K,E_AI_BIAS_AMOWN,PC_ENT_AI_TANY,PT,2024,1.61
A,0-9,C10-S951_X_K,E_AI_BIAS_AOS,PC_ENT,ES,2024,0.03
A,0-9,C10-S951_X_K,E_AI_BIAS_AOS,PC_ENT,PT,2024,0.01
A,0-9,C10-S951_X_K,E_AI_BIAS_AOS,PC_ENT_AI_PDI,ES,2024,23.55
A,0-9,C10-S951_X_K,E_AI_BIAS_AOS,PC_ENT_AI_PDI,PT,2024,11.25
A,0-9,C10-S951_X_K,E_AI_BIAS_AOS,PC_ENT_AI_TANY,ES,2024,0.45
A,0-9,C10-S951_X_K,E_AI_BIAS_AOS,PC_ENT_AI_TANY,PT,2024,0.37
A,0-9,C10-S951_X_K,E_AI_BIAS_ARDY,PC_ENT,ES,2024,0.03
A,0-9,C10-S951_X_K,E_AI_BIAS_ARDY,PC_ENT,PT,2024,0.02
A,0-9,C10-S951_X_K,E_AI_BIAS_ARDY,PC_ENT_AI_PDI,ES,2024,26.23
A,0-9,C10-S951_X_K,E_AI_BIAS_ARDY,PC_ENT_AI_PDI,PT,2024,16.27
A,0-9,C10-S951_X_K,E_AI_BIAS_ARDY,PC_ENT_AI_TANY,ES,2024,0.5
A,0-9,C10-S951_X_K,E_AI_BIAS_ARDY,PC_ENT_AI_TANY,PT,2024,0.53
A,0-9,C10-S951_X_K,E_AI_BINC,PC_ENT,ES,2021,0.63
A,0-9,C10-S951_X_K,E_AI_BINC,PC_ENT,ES,2023,0.83
A,0-9,C10-S951_X_K,E_AI_BINC,PC_ENT,ES,2024,0.56
A,0-9,C10-S951_X_K,E_AI_BINC,PC_ENT,ES,2025,1.55
A,0-9,C10-S951_X_K,E_AI_BINC,PC_ENT,PT,2021,1.18
A,0-9,C10-S951_X_K,E_AI_BINC,PC_ENT,PT,2023,1.18
A,0-9,C10-S951_X_K,E_AI_BINC,PC_ENT,PT,2024,2.14
A,0-9,C10-S951_X_K,E_AI_BINC,PC_ENT_AI_EC,ES,2021,39.05
